CandidateDiseaseCode,CandidateDiseaseNameEn,CandidateDiseaseNameVi,SuggestedGroupCode,MatchedKeyword,EvidenceField,EvidenceCount,SampleDrugNames,EvidenceSnippet,Action
CAND-DIS-0024,Psoriatic Arthritis,,AUTOIMMUNE,Psoriatic Arthritis,KnownIndications,5,PREDNISONE (PredniSONE); BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE (Betaloan SUIK); DEXAMETHASONE (Dexamethasone); METHYLPREDNISOLONE (MethylPREDNISolone); DEXAMETHASONE SODIUM PHOSPHATE (Dexamethasone Sodium Phosphate),"d with cancer Nonsuppurative thyroiditis 2. Rheumatic Disorders As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in: Psoriatic arthritis Rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy) Ankylosing spondylitis Acute and subacute bursitis Acute no || ctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in acute gouty arthritis; acute rheumatic carditis; ankylosing spondylitis; psoriatic arthritis; rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy). For the treatment of dermatomyositis, polymyositis, and s || ctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in acute gouty arthritis, acute rheumatic carditis, ankylosing spondylitis, psoriatic arthritis, rheumatoid arthritis, including j",NEED_REVIEW
CAND-DIS-0025,Renal Disease,,UROLOGY,Renal Disease,KnownIndications; SideEffectsWarnings,5,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS (Lisinopril and Hydrochlorothiazide); LISINOPRIL AND HYDROCHLOROTHIAZIDE (Lisinopril and Hydrochlorothiazide); CHLORTHALIDONE (Chlorthalidone); FUROSEMIDE (Furosemide); HYDROCHLOROTHIAZIDE (Hydrochlorothiazide),"should discontinue the ACE inhibitor and receive appropriate medical follow-up. Hydrochlorothiazide Thiazides should be used with caution in severe renal disease. In patients with renal disease, thiazides may precipitate azotemia. Cumulative effects of the drug may develop in patients with impaired renal function. Thiazides should be used with caution in patients with impaired hepatic function or progressi || ombocytopenia, and possibly other adverse reactions have occurred in the adult. Hydrochlorothiazide Thiazides should be used with caution in severe renal disease. In patients with renal disease, thiazides may precipitate azotemia. Cumulative effects of the drug may develop in patients with impaired renal function. Thiazides should be used with caution in patients with impaired hepatic function or progressi || te or severe, chlorthalidone dosage should be reduced or therapy withdrawn. Warnings: WARNINGS Chlorthalidone should be used with caution in severe renal disease. In patients",NEED_REVIEW
CAND-DIS-0026,Sick Sinus Syndrome,,OTHER,Sick Sinus Syndrome,ContraindicationsInteractions; SideEffectsWarnings,5,DILTIAZEM HYDROCHLORIDE (diltiazem hydrochloride); METOPROLOL TARTRATE (Metoprolol Tartrate); METOPROLOL SUCCINATE ER TABLETS (Metoprolol Succinate); METOPROLOL SUCCINATE (Metoprolol Succinate),"CONTRAINDICATIONS Diltiazem hydrochloride is contraindicated in (1) patients with sick sinus syndrome except in the presence of a functioning ventricular pacemaker, (2) patients with second- or third-degree AV block except in the presence of a functioning ventricular pacemaker, (3 || CONTRAINDICATIONS Diltiazem hydrochloride is contraindicated in (1) patients with sick sinus syndrome except in the presence of a functioning ventricular pacemaker, (2) patients with second- or third-degree AV block except in the presence of a functioning ventricular pacemaker, (3 || nings: WARNINGS Cardiac Conduction : Diltiazem hydrochloride prolongs AV node refractory periods without significantly prolonging sinus node recovery time, except in patients with sick sinus syndrome. This effect may rarely result in abnormally slow heart rates (particularly in patients with sick sinus syndrome) or second- or third-degree AV block (13 of 3290 patients or 0.40%",NEED_REVIEW
CAND-DIS-0027,Suicide Bipolar Disorder and Depression,,MENTAL,Suicide Bipolar Disorder and Depression,SideEffectsWarnings,5,SERTRALINE HYDROCHLORIDE (Sertraline Hydrochloride); AMITRIPTYLINE HYDROCHLORIDE (Amitriptyline Hydrochloride); VENLAFAXINE (Venlafaxine); NORTRIPTYLINE HYDROCHLORIDE (NORTRIPTYLINE HYDROCHLORIDE); IMIPRAMINE HYDROCHLORIDE (Imipramine Hydrochloride),"ms should be adequately screened to determine if they are at risk for bipolar disorder; such screening should include a detailed psychiatric history, including a family history of suicide, bipolar disorder, and depression. It should be noted that sertraline hydrochloride is not approved for use in treating bipolar depression. Serotonin Syndrome: The development of a potentially life-threatening ser || ms should be adequately screened to determine if they are at risk for bipolar disorder; such screening should include a detailed psychiatric history, including a family history of suicide, bipolar disorder, and depression. It should be noted that amitriptyline hydrochloride is not approved for use in treating bipolar depression. Amitriptyline hydrochloride may block the antihypertensive action of g || ms should be adequately screened to determine if they are at risk for bipolar disorder; such screening should include a detailed psychiatric history, including a family history of suicide, b",NEED_REVIEW
CAND-DIS-0028,This Syndrome Is Complicated,,OTHER,This Syndrome Is Complicated,SideEffectsWarnings,5,METOCLOPRAMIDE (Metoclopramide); PERPHENAZINE (perphenazine); HALOPERIDOL (Haloperidol); PROCHLORPERAZINE MALEATE (Prochlorperazine Maleate); CHLORPROMAZINE HYDROCHLORIDE (chlorpromazine hydrochloride),"sciousness, and evidence of autonomic instability (irregular pulse or blood pressure, tachycardia, diaphoresis and cardiac arrhythmias). The diagnostic evaluation of patients with this syndrome is complicated. In arriving at a diagnosis, it is important to identify cases where the clinical presentation includes both serious medical illness (e.g., pneumonia, systemic infection, etc.) an || sciousness, and evidence of autonomic instability (irregular pulse or blood pressure, tachycardia, diaphoresis and cardiac arrhythmias). The diagnostic evaluation of patients with this syndrome is complicated. In arriving at a diagnosis, it is important to identify cases where the clinical presentation includes both serious medical illness (e.g., pneumonia, systemic infection, etc.) an || al status and evidence of autonomic instability (irregular pulse or blood pressure, tachycardia, diaphoresis, and cardiac dysrhythmias). The diagnostic evaluation of patients with this syndrome is complicated. In arr",NEED_REVIEW
CAND-DIS-0029,Acne,,DERMATOLOGY,Acne,KnownIndications; SideEffectsWarnings,4,SALICYLIC ACID (Quick Action); ACNE SPOT TREATMENT (Clear Acne Spot Treatment); TAZAROTENE (TAZORAC); RESURFACING TREATMENT PADS (AHA/BHA Swipes),Use for the treatment of acne || Use for the treatment of acne || Use For the treatment of acne,NEED_REVIEW
CAND-DIS-0030,Although The Syndrome May Remit,,OTHER,Although The Syndrome May Remit,SideEffectsWarnings,4,PERPHENAZINE (perphenazine); HALOPERIDOL (Haloperidol); PROCHLORPERAZINE MALEATE (Prochlorperazine Maleate); CHLORPROMAZINE HYDROCHLORIDE (chlorpromazine hydrochloride),"red to the patient increase. However, the syndrome can develop, although much less commonly, after relatively brief treatment periods at low doses. There is no known treatment for established cases of tardive dyskinesia, although the syndrome may remit, partially or completely, if antipsychotic treatment is withdrawn. Antipsychotic treatment itself, however, may suppress (or partially suppress) the signs and symptoms of the syndrome, and thereby may possibly mask the underlying disease process || red to the patient increase. However, the syndrome can develop, although much less commonly, after relatively brief treatment periods at low doses. There is no known treatment for established cases of tardive dyskinesia, although the syndrome may remit, partially or completely, if antipsychotic treatment is withdrawn. Antipsychotic treatment, itself, however, may suppress (or partially suppress) the signs and symptoms of the syndrome and thereby may possibly mask the underlying process. The ef",NEED_REVIEW
CAND-DIS-0031,Cardiovascular Disease,,OTHER,Cardiovascular Disease,KnownIndications; SideEffectsWarnings,4,ESTRADIOL (Estradiol Vaginal); PRAVASTATIN SODIUM (PRAVASTATIN SODIUM); NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL (Hailey 1.5/30); IMIPRAMINE HYDROCHLORIDE (Imipramine Hydrochloride),"l bleeding [see WARNINGS, Malignant Neoplasms, Endometrial Cancer ]. Cardiovascular Disorders and Probable Dementia Estrogen-alone therapy should not be used for the prevention of cardiovascular disease or dementia [see CLINICAL STUDIES and WARNINGS, Cardiovascular Disorders, and Probable Dementia ]. The Women’s Health Initiative (WHI) estrogen-alone substudy reported increased risks of stroke and deep vein thrombosis (DVT) in postmenopausal women (50 to 79 years of age) duri || s for the individual woman. Estrogen Plus Progestin Therapy Cardiovascular Disorders and Probable Dementia Estrogen plus progestin therapy should not be used for the prevention of cardiovascular disease or dementia [see CLINICAL STUDIES and WARNINGS, Cardiovascular Disorders, and Probable Dementia ]. The WHI estrogen plus progestin substudy reported increased risks of DVT, pulmonary embolism (PE), stroke and myocardial infarction (MI) in postmenopausal women (50 to 79 years o || er failing an adequate trial of ",NEED_REVIEW
CAND-DIS-0032,Collagen Vascular Disease,,CARDIO,Collagen Vascular Disease,KnownIndications; SideEffectsWarnings,4,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS (Lisinopril and Hydrochlorothiazide); LISINOPRIL AND HYDROCHLOROTHIAZIDE (Lisinopril and Hydrochlorothiazide),"rothiazide tablets, consideration should be given to the fact that an angiotensin-converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen vascular disease, and that available data are insufficient to show that lisinopril does not have a similar risk. (See WARNINGS .) In considering use of lisinopril and hydrochlorothiazide tablets, it should be noted that Black patients receiving ACE inhibitors have been reported to have a hi || re cases of neutropenia and bone marrow depression in which a causal relationship to lisinopril cannot be excluded. Periodic monitoring of white blood cell counts in patients with collagen vascular disease and renal disease should be considered. Hepatic Failure Rarely, ACE inhibitors have been associated with a syndrome that starts with cholestatic jaundice or hepatitis and progresses to fulminant hepatic necrosis, and ( || iazide tablets USP, consideration should be given to the fact that a",NEED_REVIEW
CAND-DIS-0033,Diabetes See Drug Interactions 7,,METABOLIC,Diabetes See Drug Interactions 7,ContraindicationsInteractions,4,SACUBITRIL AND VALSARTAN (ENTRESTO); VALSARTAN (Valsartan); BENAZEPRIL HYDROCHLORIDE (Benazepril Hydrochloride); LISINOPRIL (Lisinopril),"use of ACE inhibitors. Do not administer within 36 hours of switching from or to an ACE inhibitor [see Drug Interactions (7.1)] with concomitant use of aliskiren in patients with diabetes [see Drug Interactions (7.1)] Hypersensitivity to any component. ( 4 ) History of angioedema related to previous ACEi or ARB therapy. ( 4 ) Concomitant use with ACE inhibitors. ( 4 , 7.1 ) Concomitant use || use of ACE inhibitors. Do not administer within 36 hours of switching from or to an ACE inhibitor [see Drug Interactions (7.1)] with concomitant use of aliskiren in patients with diabetes [see Drug Interactions (7.1)] Hypersensitivity to any component. ( 4 ) History of angioedema related to previous ACEi or ARB therapy. ( 4 ) Concomitant use with ACE inhibitors. ( 4 , 7.1 ) Concomitant use || 4 CONTRAINDICATIONS Do not use in patients with known hypersensitivity to any component. Do not coadminister aliskiren with valsartan tablets in patients with diabetes [See Drug Interactions (7.3) ]. Known hy",NEED_REVIEW
CAND-DIS-0034,Duodenal Ulcer Recurrence,,DIGESTIVE,Duodenal Ulcer Recurrence,ContraindicationsInteractions; KnownIndications,4,ESOMEPRAZOLE MAGNESIUM (Acid Reducer); FAMOTIDINE (Famotidine); LANSOPRAZOLE (Lansoprazole); AMOXICILLIN (Amoxicillin),"contraindications of amoxicillin and clarithromycin, indicated in combination with esomeprazole magnesium delayed-release capsules for H. pylori eradication to reduce the risk of duodenal ulcer recurrence, refer to the Contraindications section of the respective prescribing information. Proton pump inhibitors (PPIs), including esomeprazole magnesium delayed-release capsules, are contraindicated in patients receiving rilpivirine-containing products [see Drug Inte || re indicated in adults for the: • treatment of pathological hypersecretory conditions (e.g., Zollinger-Ellison syndrome, multiple endocrine neoplasias). • reduction of the risk of duodenal ulcer recurrence. Famotidine tablets are a histamine-2 (H 2 ) receptor antagonist indicated ( 1 ): In adult and pediatric patients 40 kg and greater for the treatment of: • active duodenal ulcer ( || re indicated in adults for the: • treatment of pathological hypersecretory conditions (e.g., Zollinger-Ellison syndrome, multiple endocrine n",NEED_REVIEW
CAND-DIS-0035,Heart Attack Heart Failure and Stroke,,CARDIO,Heart Attack Heart Failure and Stroke,SideEffectsWarnings,4,"NAPROXEN SODIUM 220MG (Naproxen Sodium 220mg); DICLOFENAC SODIUM (Diclofenac Sodium); IBUPROFEN (Ibuprofen Dye Free); DIPHENHYDRAMINE CITRATE, IBUPROFEN (ibuprofen pm)","ore alcoholic drinks every day while using this product take more or for a longer time than directed. Heart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed. Do not use if you have ever had an allergic reaction to any other pain reliever/ || 3 or more alcoholic drinks every day while using this product apply more or for longer than directed Heart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed. Do not use if you have ever had an allergic reaction to any other pain reliever || her drugs containing prescription or nonprescription NSAIDs [aspirin, ibuprofen, naproxen, or others] Heart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, he",NEED_REVIEW
CAND-DIS-0036,Kidney Disease,,UROLOGY,Kidney Disease,ContraindicationsInteractions; KnownIndications; SideEffectsWarnings,4,"DICLOFENAC SODIUM (Diclofenac Sodium); DAPAGLIFLOZIN (FARXIGA); SULFACETAMIDE SODIUM, SULFUR (SODIUM SULFACETAMIDE AND SULFUR)","outh Ask a doctor before us if you have problems or serious side effects from taking pain relievers or fever reducers stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, or had a stroke you are taking a diuretic you are under age 18 years. It is not known if this drug works or is safe in children under age 18 years. Ask a doctor or pharmacist before use if you are u || th an eGFR less than 45 mL/min/1.73 m 2 . FARXIGA is likely to be ineffective in this setting based upon its mechanism of action. • FARXIGA is not recommended for the treatment of chronic kidney disease in patients with polycystic kidney disease or patients requiring or with a recent history of immunosuppressive therapy for kidney disease. FARXIGA is not expected to be effective in these populations. FARXIGA is a sodium-glucose cotransporter 2 (SGLT2) inhibitor indicated: • To reduce the ris",NEED_REVIEW
CAND-DIS-0037,Metastatic Breast Cancer,,CANCER,Metastatic Breast Cancer,KnownIndications; SideEffectsWarnings,4,CAPECITABINE (capecitabine); DOCETAXEL ANHYDROUS (Docetaxel); FULVESTRANT (Fulvestrant),"• treatment of patients with advanced or metastatic breast cancer as a single agent if an anthracycline-or taxane-containing chemotherapy is not indicated. ( 1.2 ) • treatment of patients with advanced or metastatic breast cancer in combination with docetaxel after disease progression on prior anthracycline-containing chemotherapy. ( 1.2 ) Gastric, Esophageal, or Gastroesophageal Junction Cancer • treatment of adults with unresectable or metastatic gastric, esophageal, or gastroesophageal juncti || for the: • treatment of patients with advanced or metastatic breast cancer as a single agent if an anthracycline- or taxanecontaining chemotherapy is not indicated. • treatment of patients with advanced or metastatic breast cancer in combination with docetaxel after disease progression on prior anthracycline-containing chemotherapy. 1.3 Gastric, Esophageal, or Gastroesophageal Junction Cancer Capecitabine tablets are indicated for the: • treatment of adults with unresectable or metastatic ga",NEED_REVIEW
CAND-DIS-0038,Progressive Liver Disease,,OTHER,Progressive Liver Disease,SideEffectsWarnings,4,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS (Lisinopril and Hydrochlorothiazide); LISINOPRIL AND HYDROCHLOROTHIAZIDE (Lisinopril and Hydrochlorothiazide); CHLORTHALIDONE (Chlorthalidone); HYDROCHLOROTHIAZIDE (Hydrochlorothiazide),"se, thiazides may precipitate azotemia. Cumulative effects of the drug may develop in patients with impaired renal function. Thiazides should be used with caution in patients with impaired hepatic function or progressive liver disease, since minor alterations of fluid and electrolyte balance may precipitate hepatic coma. Sensitivity reactions may occur in patients with or without a history of allergy or bronchial asthma. The possibility of exacerbation or activation of systemic lupus erythematos || se, thiazides may precipitate azotemia. Cumulative effects of the drug may develop in patients with impaired renal function. Thiazides should be used with caution in patients with impaired hepatic function or progressive liver disease, since minor alterations of fluid and electrolyte balance may precipitate hepatic coma. Sensitivity reactions may occur in patients with or without a history of allergy or bronchial asthma. The possibility of exacerbation or activation of systemic lupus erythem",NEED_REVIEW
CAND-DIS-0039,type 1 Diabetes Mellitus,,METABOLIC,type 1 Diabetes Mellitus,KnownIndications; SideEffectsWarnings,4,GLIMEPIRIDE (Glimepiride); SITAGLIPTIN AND METFORMIN HYDROCHLORIDE (ZITUVIMET); DAPAGLIFLOZIN (FARXIGA),"to improve glycemic control in adults with type 2 diabetes mellitus [see Clinical Studies (14.1) ]. Limitations of Use Glimepiride tablets should not be used for the treatment of type 1 diabetes mellitus or diabetic ketoacidosis, as it would not be effective in these settings. Glimepiride tablets are a sulfonylurea indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus ( 1 ). Limitations of Use: || ted as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: ZITUVIMET is not recommended in patients with type 1 diabetes mellitus. ( 1 ) ZITUVIMET has not been studied in patients with a history of pancreatitis. ( 1 ) ZITUVIMET is indicated as an adjunct to diet and exercise to improve glycemic control in ad || ted as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: ZITUVIMET is not r",NEED_REVIEW
CAND-DIS-0040,Attention Deficit Hyperactivity Disorder,,MENTAL,Attention Deficit Hyperactivity Disorder,KnownIndications; SideEffectsWarnings,3,"LORLATINIB (Lorbrena); DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE (DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE); SERDEXMETHYLPHENIDATE AND DEXMETHYLPHENIDATE (AZSTARYS)","system disorders: amnesia, cognitive disorder, dementia, disturbance in attention, memory impairment, mental impairment; and also including events from SOC Psychiatric disorders: attention deficit/hyperactivity disorder, confusional state, delirium, disorientation, reading disorder). 27 2 Headache 18 0.7 Dizziness 16 0.7 Speech effects Speech effects (including aphasia, dysarthria, slow speech, s || amine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets (Mixed Salts of a Single Amphetamine Product) are indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) and Narcolepsy. Attention Deficit Hyperactivity Disorder (ADHD) A diagnosis of Attention Deficit Hyperactivity Disorder (ADHD; DSM-IV ® ) implies the presence of hyperactiv || te and Amphetamine Sulfate Tablets (Mixed Salts of a Single Amphetamine Product) are indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) and Narcolepsy. Attention Def",NEED_REVIEW
CAND-DIS-0041,Biliary Tract Disease,,OTHER,Biliary Tract Disease,SideEffectsWarnings,3,PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE (PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE); ACETAMINOPHEN AND CODEINE PHOSPHATE (Acetaminophen and Codeine Phosphate); HYDROCODONE BITARTRATE AND ACETAMINOPHEN (Hydrocodone Bitartrate and Acetaminophen),"nts with acute abdominal conditions. Pentazocine and Naloxone Tablets may cause spasm of the sphincter of Oddi. Opioids may cause increases in serum amylase. Monitor patients with biliary tract disease, including acute pancreatitis, for worsening symptoms. Cases of opioid-induced esophageal dysfunction (OIED) have been reported in patients taking opioids. The risk of OIED may inc || nts with acute abdominal conditions. Pentazocine and Naloxone Tablets may cause spasm of the sphincter of Oddi. Opioids may cause increases in serum amylase. Monitor patients with biliary tract disease, including acute pancreatitis, for worsening symptoms. Cases of opioid-induced esophageal dysfunction (OIED) have been reported in patients taking opioids. The risk of OIED may inc || and codeine phosphate in acetaminophen and codeine phosphate tablets may cause spasm of the sphincter of Oddi. Opioids may cause increases in serum amylase. Monitor patients with biliary tract disease, including acute pancreatit",NEED_REVIEW
CAND-DIS-0042,Cerebrovascular Disease,,OTHER,Cerebrovascular Disease,SideEffectsWarnings,3,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS (Lisinopril and Hydrochlorothiazide); LISINOPRIL AND HYDROCHLOROTHIAZIDE (Lisinopril and Hydrochlorothiazide); TRANDOLAPRIL (Trandolapril),"nts should be followed closely for the first two weeks of treatment and whenever the dose of lisinopril and/or diuretic is increased. Similar considerations apply to patients with ischemic heart or cerebrovascular disease in whom an excessive fall in blood pressure could result in a myocardial infarction or cerebrovascular accident. If hypotension occurs, the patient should be placed in supine position and, if necessary, receive an intravenous infusion of normal saline. A transient hypotensive r || nts should be followed closely for the first two weeks of treatment and whenever the dose of lisinopril and/or diuretic is increased. Similar considerations apply to patients with ischemic heart or cerebrovascular disease in whom an excessive fall in blood pressure could result in a myocardial infarction or cerebrovascular accident. If hypotension occurs, the patient should be placed in the supine position and, if necessary, receive an intravenous infusion of normal saline. A transient hypot",NEED_REVIEW
CAND-DIS-0043,Decompensated Heart Failure,,CARDIO,Decompensated Heart Failure,ContraindicationsInteractions,3,METOPROLOL TARTRATE (Metoprolol Tartrate); METOPROLOL SUCCINATE ER TABLETS (Metoprolol Succinate); METOPROLOL SUCCINATE (Metoprolol Succinate),"4 CONTRAINDICATIONS Metoprolol tartrate tablets are contraindicated in severe bradycardia, second- or third-degree heart block, cardiogenic shock, systolic blood pressure <100, decompensated heart failure, sick sinus syndrome (unless a permanent pacemaker is in place), and in patients who are hypersensitive to any component of this product. Known hypersensitivity to product components. ( 4 ) Severe bradycardia: Greater than first degree heart block, or sick sin || 4 CONTRAINDICATIONS Metoprolol succinate extended-release tablets are contraindicated in severe bradycardia, second- or third- degree heart block, cardiogenic shock, decompensated heart failure, sick sinus syndrome (unless a permanent pacemaker is in place), and in patients who are hypersensitive to any component of this product. • Known hypersensitivity to product components. ( 4 ) • Severe bradycardia: Greater than first degree heart block, or sick || 4 CONTRAINDICATIONS Metoprolol succinate extended-release tablets are con",NEED_REVIEW
CAND-DIS-0044,Developing The Syndrome,,OTHER,Developing The Syndrome,SideEffectsWarnings,3,PERPHENAZINE (perphenazine); PROCHLORPERAZINE MALEATE (Prochlorperazine Maleate); CHLORPROMAZINE HYDROCHLORIDE (chlorpromazine hydrochloride),"reatment, which patients are likely to develop the syndrome. Whether antipsychotic drug products differ in their potential to cause tardive dyskinesia is unknown. Both the risk of developing the syndrome and the likelihood that it will become irreversible are believed to increase as the duration of treatment and the total cumulative dose of antipsychotic drugs administered to the patient increase. However, the syndrome can develop, although much less commonly, after relatively brief treatment pe || reatment, which patients are likely to develop the syndrome. Whether antipsychotic drug products differ in their potential to cause tardive dyskinesia is unknown. Both the risk of developing the syndrome and the likelihood that it will become irreversible are believed to increase as the duration of treatment and the total cumulative dose of antipsychotic drugs administered to the patient increase. However, the syndrome can develop, although much less commonly, after relatively brief treatmen",NEED_REVIEW
CAND-DIS-0045,Heart Failure Monitor Patients,,CARDIO,Heart Failure Monitor Patients,SideEffectsWarnings,3,ETODOLAC (Etodolac); KETOROLAC TROMETHAMINE (Ketorolac Tromethamine); NABUMETONE (Nabumetone),"id the use of etodolac in patients with severe heart failure unless the benefits are expected to outweigh the risk of worsening heart failure. If etodolac is used in patients with severe heart failure, monitor patients for signs of worsening heart failure. Gastrointestinal Effects - Risk of Ulceration, Bleeding, and Perforation NSAIDs, including etodolac, can cause serious gastrointestinal (GI) adverse events including inflammation || ethamine in patients with severe heart failure unless the benefits are expected to outweigh the risk of worsening heart failure. If ketorolac tromethamine is used in patients with severe heart failure, monitor patients for signs of worsening heart failure. Skin Reactions NSAIDs, including ketorolac tromethamine, can cause serious skin adverse events such as exfoliative dermatitis, Stevens-Johnson Syndrome (SJS), and toxic epidermal || one tablets in patients with severe heart failure unless the benefits are expected to outweigh the risk of worsening heart",NEED_REVIEW
CAND-DIS-0046,Heart Failure Nsaid Use Increased The Risk,,CARDIO,Heart Failure Nsaid Use Increased The Risk,SideEffectsWarnings,3,ETODOLAC (Etodolac); KETOROLAC TROMETHAMINE (Ketorolac Tromethamine); NABUMETONE (Nabumetone),"eart failure in COX-2 selective-treated patients and nonselective NSAID-treated patients compared to placebo-treated patients. In a Danish National Registry study of patients with heart failure, NSAID use increased the risk of MI, hospitalization for heart failure, and death. Additionally, fluid retention and edema have been observed in some patients treated with NSAIDs. Use of etodolac may blunt the CV effects of several therapeutic agents used to tr || eart failure in COX-2 selective-treated patients and nonselective NSAID-treated patients compared to placebo-treated patients. In a Danish National Registry study of patients with heart failure, NSAID use increased the risk of MI, hospitalization for heart failure, and death. Additionally, fluid retention and edema have been observed in some patients treated with NSAIDs. Use of ketorolac tromethamine may blunt the CV effects of several therapeutic age || eart failure in COX-2 selective-treated patients and nonselective NSAID-treated pa",NEED_REVIEW
CAND-DIS-0047,Inflammatory Bowel Disease,,DIGESTIVE,Inflammatory Bowel Disease,SideEffectsWarnings,3,HYDROCORTISONE ACETATE (Cortifoam); BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE (Betaloan SUIK); DEXAMETHASONE (Dexamethasone),"egaly, increased appetite, nausea, pancreatitis, peptic ulcer with possible perforation and hemorrhage, perforation of the small and large intestine (particularly in patients with inflammatory bowel disease), ulcerative esophagitis. Metabolic: Negative nitrogen balance due to protein catabolism. Musculoskeletal: Aseptic necrosis of femoral and humeral heads, Charcot-like arthropathy, loss of muscle mass, mus || egaly, increased appetite, nausea, pancreatitis, peptic ulcer with possible perforation and hemorrhage, perforation of the small and large intestine (particularly in patients with inflammatory bowel disease), ulcerative esophagitis. Metabolic Negative nitrogen balance due to protein catabolism. Musculoskeletal Aseptic necrosis of femoral and humeral heads, calcinosis (following intra-articular or intralesion || egaly, increased appetite, nausea, pancreatitis, peptic ulcer with possible perforation and hemorrhage, perforation of the small and large intestine (particularly in pati",NEED_REVIEW
CAND-DIS-0048,Inflammatory Bowel Disease Ulcerative Esophagitis,,DIGESTIVE,Inflammatory Bowel Disease Ulcerative Esophagitis,SideEffectsWarnings,3,HYDROCORTISONE ACETATE (Cortifoam); BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE (Betaloan SUIK); DEXAMETHASONE (Dexamethasone),"egaly, increased appetite, nausea, pancreatitis, peptic ulcer with possible perforation and hemorrhage, perforation of the small and large intestine (particularly in patients with inflammatory bowel disease), ulcerative esophagitis. Metabolic: Negative nitrogen balance due to protein catabolism. Musculoskeletal: Aseptic necrosis of femoral and humeral heads, Charcot-like arthropathy, loss of muscle mass, mus || egaly, increased appetite, nausea, pancreatitis, peptic ulcer with possible perforation and hemorrhage, perforation of the small and large intestine (particularly in patients with inflammatory bowel disease), ulcerative esophagitis. Metabolic Negative nitrogen balance due to protein catabolism. Musculoskeletal Aseptic necrosis of femoral and humeral heads, calcinosis (following intra-articular or intralesion || egaly, increased appetite, nausea, pancreatitis, peptic ulcer with possible perforation and hemorrhage, perforation of the small and large intestine (particularly in pati",NEED_REVIEW
CAND-DIS-0049,Known Cv Disease,,OTHER,Known Cv Disease,SideEffectsWarnings,3,ETODOLAC (Etodolac); KETOROLAC TROMETHAMINE (Ketorolac Tromethamine); NABUMETONE (Nabumetone),"s CV thrombotic events over baseline conferred by NSAID use appears to be similar in those with and without known CV disease or risk factors for CV disease. However, patients with known CV disease or risk factors had a higher absolute incidence of excess serious CV thrombotic events, due to their increased baseline rate. Some observational studies found that this increased risk of serious CV thrombotic events began as early as the first weeks of treatment. The increase in CV thrombotic risk has  || s CV thrombotic events over baseline conferred by NSAID use appears to be similar in those with and without known CV disease or risk factors for CV disease. However, patients with known CV disease or risk factors had a higher absolute incidence of excess serious CV thrombotic events, due to their increased baseline rate. Some observational studies found that this increased risk of serious CV thrombotic events began as early as the first few weeks of treatment. The increase in CV thrombotic r",NEED_REVIEW
